>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=79, Height=63}
Originator:entrance_30aug.Project 2011-08-30 16:12:36.Run 18:57:36.Vector Masking
CameraInfo:NanoSense.0
TimeStamp:0.0475
>>*DATA*<<
x	y	x (pix)[pix]	y (pix)[pix]	x (mm)[mm]	y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	Length[m/s]	Status
0	0	15.5	15.5	0.186	0.186	0.00658986361183148	-0.0245956046758996	3.16313453367911E-05	-0.000118058902444318	0.00012222293751245	17
1	0	31.5	15.5	0.378	0.186	0.00658986361183148	-0.0245956046758996	3.16313453367911E-05	-0.000118058902444318	0.00012222293751245	17
2	0	47.5	15.5	0.57	0.186	0.00367661944740879	-0.0145975612516243	1.76477733475622E-05	-7.00682940077968E-05	7.22565549226503E-05	17
3	0	63.5	15.5	0.762	0.186	-0.000427238167806839	-0.000375342992242622	-2.05074320547283E-06	-1.80164636276459E-06	2.72973942185986E-06	17
4	0	79.5	15.5	0.954	0.186	2.15342920000435E-08	3.17005160547594E-08	1.03364601600209E-10	1.52162477062845E-10	1.8395015708031E-10	1
5	0	95.5	15.5	1.146	0.186	8.29946788377667E-09	-7.13411028747483E-09	3.9837445842128E-11	-3.42437293798792E-11	5.25324194480597E-11	1
6	0	111.5	15.5	1.338	0.186	1.05708280670469E-08	-3.33742235236745E-08	5.07399747218251E-11	-1.60196272913637E-10	1.6803984911381E-10	1
7	0	127.5	15.5	1.53	0.186	1.05708280670469E-08	-3.33742235236745E-08	5.07399747218251E-11	-1.60196272913637E-10	1.6803984911381E-10	17
8	0	143.5	15.5	1.722	0.186	-1.06264649857302E-07	2.0008386151608E-07	-5.10070319315048E-10	9.60402535277183E-10	1.08744873921164E-09	17
9	0	159.5	15.5	1.914	0.186	-1.06264649857302E-07	2.0008386151608E-07	-5.10070319315048E-10	9.60402535277183E-10	1.08744873921164E-09	17
10	0	175.5	15.5	2.106	0.186	-0.00456610564469884	-0.032665690620585	-2.19173070945544E-05	-0.000156795314978808	0.00015831973708158	17
